STATION,STATION_NAME,DATE,PRCP,SNOW,TMAX,TMIN
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150101,0,0,18,5
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150102,0.02,0.4,21,16
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150103,0.04,0.4,23,5
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150104,0.34,3.4,35,23
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150105,0,0,39,32
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150106,0,0,39,27
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150107,0,0,32,28
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150108,0,0,33,28
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150109,0,0,32,21
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150110,0.06,0.3,29,27
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150111,0,0,30,24
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150112,0,0,33,24
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150113,0,0,30,28
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150114,0,0,32,23
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150115,0.07,0.9,31,26
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150116,0.25,1.8,36,24
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150117,0.62,1.5,32,24
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150118,0.28,0,43,32
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150119,0,0,41,26
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150120,0,0,29,24
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150121,0,0,30,24
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150122,0.18,1.2,32,24
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150123,0,0,32,24
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150124,0.01,0,38,31
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150125,0,0,47,36
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150126,0,0,42,32
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150127,0,0,36,28
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150128,0,0,36,26
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150129,0,0,33,27
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150130,0.03,0,30,27
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150131,0,0,31,28
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150201,0.12,1.4,32,28
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150202,0.12,0.3,37,29
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150203,0,0,40,32
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150204,0.02,0,39,33
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150205,0.38,0,49,34
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150206,0.2,0,55,39
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150207,0.31,0,54,40
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150208,0,0,55,38
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150209,0.12,0,52,42
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150210,0,0,46,41
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150211,0,0,46,38
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150212,0,0,54,33
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150213,0,0,51,33
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150214,0,0,49,31
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150215,0,0,49,25
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150216,0,0,49,24
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150217,0,0,49,23
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150218,0,0,46,26
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150219,0,0,44,29
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150220,0,0,48,27
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150221,0,0,48,27
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150222,0,0,40,16
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150223,0,0,40,15
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150224,0,0,46,23
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150225,0,0,48,20
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150226,0,0,41,27
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150227,0,0,47,26
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150228,0,0,41,21
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150301,0,0,43,19
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150302,0.03,0.4,41,26
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150303,0,0,39,15
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150304,0,0,44,13
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150305,0,0,52,25
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150306,0,0,59,26
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150307,0,0,61,26
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150308,0,0,61,27
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150309,0,0,62,28
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150310,0,0,66,30
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150311,0,0,55,42
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150312,0,0,61,37
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150313,0,0,63,32
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150314,0.14,0,58,44
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150315,1.35,0,49,42
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150316,0,0,53,35
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150317,0.18,0,44,39
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150318,0.02,0,56,35
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150319,0,0,55,30
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150320,0,0,60,38
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150321,0.02,0,56,34
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150322,0,0,57,29
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150323,0.07,0,52,37
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150324,0.14,0,49,33
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150325,0.2,0,47,31
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150326,0.01,0,62,42
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150327,0.07,0,70,40
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150328,0.22,0,58,39
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150329,0,0,59,36
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150330,0,0,65,37
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150331,0,0,55,34
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150401,0.02,0,49,27
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150402,0,0,52,23
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150403,0,0,54,32
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150404,0,0,52,27
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150405,0.01,0,54,23
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150406,0.45,1.3,40,31
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150407,0,0,54,29
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150408,0,0,59,37
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150409,0.02,0,58,31
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150410,0,0,61,32
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150411,0,0,53,32
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150412,0,0,51,29
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150413,0.12,0,61,32
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150414,0.04,0,50,31
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150415,0,0,55,25
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150416,0,0,61,26
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150417,0,0,69,32
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150418,0,0,67,39
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150419,0,0,68,38
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150420,0,0,72,36
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150421,0,0,73,39
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150422,0,0,60,37
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150423,0.01,0,53,35
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150424,0,0,52,35
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150425,0.14,0,50,31
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150426,0,0,56,26
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150427,0,0,66,31
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150428,0,0,77,39
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150429,0.01,0,62,41
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150430,0,0,63,35
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150501,0,0,73,41
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150502,0,0,65,37
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150503,0,0,67,38
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150504,0,0,74,32
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150505,0,0,60,39
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150506,0,0,60,30
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150507,0,0,68,38
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150508,0,0,68,45
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150509,0,0,70,42
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150510,0,0,73,42
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150511,0,0,70,47
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150512,0.05,0,64,51
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150513,0.25,0,54,44
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150514,0,0,65,38
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150515,0,0,71,44
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150516,0.08,0,71,48
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150517,0.01,0,70,50
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150518,0,0,71,47
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150519,0,0,74,48
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150520,0,0,76,50
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150521,0,0,80,49
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150522,0.01,0,81,56
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150523,0,0,82,48
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150524,0,0,77,47
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150525,0.29,0,63,50
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150526,0.05,0,65,46
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150527,0,0,74,41
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150528,0,0,78,47
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150529,0,0,80,51
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150530,0,0,81,55
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150531,0,0,80,55
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150601,0.05,0,79,55
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150602,0,0,67,47
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150603,0,0,67,45
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150604,0,0,72,40
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150605,0,0,79,45
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150606,0,0,85,48
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150607,0,0,91,53
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150608,0,0,93,56
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150609,0,0,91,54
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150610,0,0,88,52
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150611,0,0,85,55
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150612,0,0,76,50
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150613,0,0,72,40
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150614,0,0,77,38
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150615,0,0,80,55
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150616,0,0,85,46
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150617,0,0,84,55
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150618,0,0,85,55
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150619,0,0,77,48
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150620,0,0,76,44
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150621,0,0,79,45
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150622,0,0,82,48
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150623,0,0,82,46
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150624,0,0,86,51
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150625,0,0,89,49
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150626,0,0,97,55
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150627,0,0,101,58
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150628,0,0,103,66
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150629,0.01,0,93,67
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150630,0,0,93,61
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150701,0,0,94,57
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150702,0,0,96,59
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150703,0,0,99,58
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150704,0,0,96,59
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150705,0,0,86,69
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150706,0,0,90,52
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150707,0,0,89,57
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150708,0,0,93,55
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150709,0,0,95,58
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150710,0.01,0,92,66
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150711,0.07,0,74,63
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150712,0,0,83,60
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150713,0,0,80,59
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150714,0,0,84,58
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150715,0,0,84,49
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150716,0,0,79,56
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150717,0,0,84,49
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150718,0,0,87,55
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150719,0,0,93,56
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150720,0,0,92,62
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150721,0,0,85,56
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150722,0,0,79,52
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150723,0,0,82,44
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150724,0,0,82,56
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150725,0,0,77,58
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150726,0,0,73,50
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150727,0.03,0,73,45
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150728,0,0,79,40
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150729,0,0,87,47
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150730,0,0,95,49
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150731,0,0,100,52
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150801,0,0,99,58
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150802,0,0,98,56
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150803,0,0,90,56
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150804,0,0,87,59
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150805,0,0,81,54
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150806,0,0,81,54
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150807,0,0,83,42
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150808,0,0,87,45
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150809,0.06,0,81,55
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150810,0,0,90,53
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150811,0,0,96,53
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150812,0,0,98,61
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150813,0.01,0,99,59
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150814,0,0,89,60
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150815,0,0,74,51
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150816,0,0,79,44
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150817,0,0,83,53
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150818,0,0,87,54
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150819,0,0,91,51
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150820,0,0,86,60
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150821,0,0,75,56
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150822,0,0,76,44
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150823,0,0,83,41
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150824,0,0,85,47
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150825,0,0,87,54
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150826,0,0,92,50
